ObjectID,origin_id,destination_id,OriginID,DestinationID,DestinationRank,total_cost
1418,GH_A1114A1,NC_A188A1,1,95,80,8858.959820536892900
1419,GH_A1114A1,NC_B1318B2,1,111,81,9085.076188319786500
1420,GH_A1114A1,NC_A1058D1,1,87,82,9101.046144392679700
1421,GH_A1114A1,GH_A184F1,1,25,83,9176.397389980806100
1422,GH_A1114A1,NC_FMRA1,1,119,84,9318.619056818586600
1423,GH_A1114A1,NC_A191A2,1,100,85,9577.084301920067400
1424,GH_A1114A1,NC_B1318B3,1,112,86,9716.363846601956500
1425,GH_A1114A1,NC_KPRA1,1,121,87,9914.448699083746800
1426,GH_A1114A1,GH_A167O1,1,17,88,9922.515763911094800
1427,GH_A1114A1,NC_CHLA1,1,118,89,9940.413167638822400
1428,GH_A1114A1,METCCTV00009,1,55,90,10024.935208664841000
1429,GH_A1114A1,NT_A191A1,1,130,91,10144.971494073941000
1430,GH_A1114A1,NT_A193I1,1,142,92,10196.396034613883000
1431,GH_A1114A1,GH_A167P1,1,18,93,10330.057844870644000
1432,GH_A1114A1,NT_A191B1,1,131,94,10472.159419295585000
1433,GH_A1114A1,NT_A193H1,1,141,95,10496.494042933991000
1434,GH_A1114A1,NT_A188A3,1,127,96,10611.306003886983000
1435,GH_A1114A1,METCCTV00013,1,59,97,10639.494614298650000
1436,GH_A1114A1,METCCTV00014,1,60,98,10648.450700099607000
1437,GH_A1114A1,NT_A189B1,1,128,99,10759.395766980122000
1438,GH_A1114A1,METCCTV00002,1,52,100,10838.037474851568000
1439,GH_A1114A1,NT_A191C1,1,132,101,10928.478793058513000
1440,GH_A1114A1,NC_B6918A1,1,117,102,11011.296082816560000
1441,GH_A1114A1,NC_B1318A1,1,108,103,11024.907090477584000
1442,GH_A1114A1,NT_A193G1,1,140,104,11088.837281681366000
1443,GH_A1114A1,ST_A194D1,1,202,105,11237.363028416750000
1444,GH_A1114A1,NT_A188A2,1,126,106,11364.849967658312000
1445,GH_A1114A1,NC_B1318A2,1,109,107,11568.388924163100000
1446,GH_A1114A1,METCCTV00003,1,53,108,11859.751390071269000
1447,GH_A1114A1,NT_A191D1,1,133,109,12154.030867443604000
1448,GH_A1114A1,NT_A193F1,1,139,110,12771.222010384097000
1449,GH_A1114A1,NT_A189B2,1,129,111,12822.267780106855000
1450,GH_A1114A1,NT_A1058E1,1,123,112,13227.048713319180000
1451,GH_A1114A1,ST_A184G1,1,194,113,13603.407919964475000
1452,GH_A1114A1,METCCTV00015,1,61,114,13643.291195579244000
1453,GH_A1114A1,TT2South2,1,212,115,13666.040759617235000
1454,GH_A1114A1,TT2South3,1,213,116,13793.708841469246000
1455,GH_A1114A1,ST_A185A1,1,196,117,13923.176224450875000
1456,GH_A1114A1,ST_A194C2,1,201,118,13936.871310412525000
1457,GH_A1114A1,ST_A194C1,1,200,119,13979.833832824814000
1458,GH_A1114A1,TT2South4,1,214,120,13987.202916365664000
1459,GH_A1114A1,TT2South1,1,211,121,14003.635498645977000
1460,GH_A1114A1,NT_A1056A1,1,122,122,14065.039340575304000
1461,GH_A1114A1,METCCTV00016,1,62,123,14071.278857174211000
1462,GH_A1114A1,ST_A1290D1,1,189,124,14144.426294359022000
1463,GH_A1114A1,ST_A1290C1,1,188,125,14190.952805457886000
1464,GH_A1114A1,ST_A185B1,1,197,126,14245.219968198402000
1465,GH_A1114A1,NT_A191E1,1,134,127,14322.568587406720000
1466,GH_A1114A1,ST_A194B1,1,199,128,14393.147832167657000
1467,GH_A1114A1,TT2North2,1,208,129,14472.388214356939000
1468,GH_A1114A1,TT2North3,1,209,130,14492.644153052866000
1469,GH_A1114A1,METCCTV00010,1,56,131,14531.491768323542000
1470,GH_A1114A1,ST_B1298C1,1,205,132,14614.067760309583000
1471,GH_A1114A1,TT2North4,1,210,133,14648.051628983318000
1472,GH_A1114A1,TT2North1,1,207,134,14702.553371480244000
1473,GH_A1114A1,SL_A1290B1,1,158,135,15126.432566033507000
1474,GH_A1114A1,SL_A1290A1,1,157,136,15292.875161667065000
1475,GH_A1114A1,NT_A1058E2,1,124,137,15699.634180676647000
1476,GH_A1114A1,ST_A184H1,1,195,138,16248.063649709467000
