Sensor Name,Location (WKT),Ground Height Above Sea Level,Sensor Height Above Ground,Broker Name,Third Party,Sensor Centroid Longitude,Sensor Centroid Latitude
PER_PEOPLE-FTP_NC_B1318A2,POINT (-1.622721 55.0291445),55.060001373291,2.0,people-ftp,False,-1.622721,55.0291445
PER_PEOPLE-FTP_SL_A690B1,POINT (-1.402433 54.893314),44.189998626709,2.0,people-ftp,False,-1.402433,54.893314
PER_PEOPLE-FTP_NC_A191A2,POINT (-1.600613 55.0072974),48.8600006103516,2.0,people-ftp,False,-1.600613,55.0072974
PER_PEOPLE-FTP_VAISALACCTV56,POINT (-1.356404 54.8072148),107.699996948242,2.0,People ftp,False,-1.356404,54.8072148
PER_PEOPLE-FTP_GH_A167N1,POINT (-1.584651 54.9106791),71.9599990844727,2.0,people-ftp,False,-1.584651,54.9106791
PER_PEOPLE-FTP_SL_A183A2,POINT (-1.368449 54.9347696),6.1100001335144,2.0,people-ftp,False,-1.368449,54.9347696
PER_PEOPLE-FTP_METCCTV00009,POINT (-1.52555 54.961114),46.1699981689453,2.0,people-ftp,False,-1.52555,54.961114
PER_PEOPLE-FTP_NC_A167D1,POINT (-1.638638 54.988869),92.9100036621094,2.0,people-ftp,False,-1.638638,54.988869
PER_PEOPLE-FTP_TT2NORTH4,POINT (-1.486106 54.9842119),13.0900001525879,2.0,People ftp,False,-1.486106,54.9842119
PER_PEOPLE-FTP_NT_A188A3,POINT (-1.582126 55.013057),55.5800018310547,2.0,people-ftp,False,-1.582126,55.013057
PER_PEOPLE-FTP_NC_A188A1,POINT (-1.580985 54.9982688),56.7999992370605,2.0,people-ftp,False,-1.580985,54.9982688
PER_PEOPLE-FTP_SL_A1231G1,POINT (-1.386235 54.9020432),37.2799987792969,2.0,people-ftp,False,-1.386235,54.9020432
PER_PEOPLE-FTP_VAISALACCTV2394,POINT (-1.602632 54.5475318),59.560001373291,2.0,People ftp,False,-1.602632,54.5475318
PER_PEOPLE-FTP_NB_A193B1,POINT (-1.50248 55.1089469),5.28000020980835,2.0,people-ftp,False,-1.50248,55.1089469
PER_PEOPLE-FTP_MCJ05131,POINT (-1.674542 54.9573022),9.35999965667725,2.0,people-ftp,False,-1.674542,54.9573022
PER_PEOPLE-FTP_ST_A1290C1,POINT (-1.469416 54.9318384),41.4799995422363,2.0,People ftp,False,-1.469416,54.9318384
PER_PEOPLE-FTP_SL_A183B1,POINT (-1.382276 54.9083925),29.9899997711182,2.0,people-ftp,False,-1.382276,54.9083925
PER_PEOPLE-FTP_VAISALACCTV2360,POINT (-1.634511 54.609514),131.889999389648,2.0,People ftp,False,-1.634511,54.609514
PER_PEOPLE-FTP_GH_CBSA1,POINT (-1.615849 54.9567032),48.1599998474121,2.0,people-ftp,False,-1.615849,54.9567032
PER_PEOPLE-FTP_NB_A193A3,POINT (-1.511739 55.1190056),6.78000020980835,2.0,people-ftp,False,-1.511739,55.1190056
PER_PEOPLE-FTP_NT_A191G1,POINT (-1.461022 55.0297769),44.5099983215332,2.0,people-ftp,False,-1.461022,55.0297769
PER_PEOPLE-FTP_SL_A183C1,POINT (-1.384585 54.9079425),33.9599990844727,2.0,people-ftp,False,-1.384585,54.9079425
PER_PEOPLE-FTP_GH_B1426A1,POINT (-1.624987 54.9428247),7.1100001335144,2.0,people-ftp,False,-1.624987,54.9428247
PER_PEOPLE-FTP_PS212,POINT (-1.621649 54.9672519),33.9799995422363,2.0,people-ftp,False,-1.621649,54.9672519
PER_PEOPLE-FTP_NT_A193H1,POINT (-1.528081 54.9918804),25.2299995422363,2.0,people-ftp,False,-1.528081,54.9918804
